Course_Title,Recommendation_1,Recommendation_2,Recommendation_3
Introduction to Computer Science and Programming in Python,Introduction to Computer Science and Programming Using Python.,CS For All: Introduction to Computer Science and Python Programming,Introduction to Programming and Computer Science - Full Course
Introduction to Computer Science and Programming,Introduction to Computer Science and Programming,Introduction to Computer Science and Programming,プログラミングしながら学ぶコンピュータサイエンス入門 : Introduction to Computer Science and Programming
Concepts in Computer Science,Computer Science 101,How to Program: Computer Science Concepts and Python Exercises,Computer System Design: Advanced Concepts of Modern Microprocessors
Bachelor of Science in Computer Science (BCS) Online Degree,Associate of Science in Computer Science (ACS) Online Degree,Bachelor of Computer Science,Online Master of Science in Computer Science (OMSCS)
Associate of Science in Computer Science (ACS) Online Degree,Bachelor of Science in Computer Science (BCS) Online Degree,Online Master of Science in Computer Science (OMSCS),Introduction to Computer Science and Programming
Introduction to Computer Science and Programming (Fall 2008),Introduction to Computer Science and Programming in Python,Introduction to Programming and Computer Science - Full Course,Introduction to Computer Science and Programming (Spring 2011)
Introduction to Software Product Management,Cloud Computing Engineering and Management,Performance Engineering of Software Systems,Software Engineering: Introduction
Mathematics for Computer Science,Mathematics for Computer Science,Computer Science 101,Computer Science for Data Science
Master of Computer Science,Computer Science 101,Computer Science 101: Master the Theory Behind Programming,Online Master of Science in Computer Science (OMSCS)
Computer Science 101: Master the Theory Behind Programming,Master of Computer Science,Foundations of Computer Science: Theory and Practice,Introduction to Computer Science and Programming
Introduction to Computer Science and Programming (Spring 2011),Introduction to Computer Science and Programming in Python,Introduction to Programming and Computer Science - Full Course,Introduction to Computer Science and Programming (Fall 2008)
Computer Science 101 - Computers & Programming for Beginners,Introduction to Computer Science and Programming in Python,Introduction to Programming and Computer Science - Full Course,Computer Science: Programming with a Purpose
CS50's Understanding Technology,Understanding the World Through Data,CS50's Introduction to Computer Science,CS50's Computer Science for Lawyers
Foundations of Computer Science,Computer Science 101,Foundations of Computer Science: Theory and Practice,Computer Science for Data Science
Computer Science by CrashCourse,Introduction to Computer Science and Programming,Introduction to Computer Science and Programming,Introduction to Computer Science and Programming
Computer Science Principles: Digital Information,Computer Science Principles: Programming,Computer Science Principles: The Internet,Functional Programming Principles in Scala
Computer Science Summer Program (High School) (Live Online),Advanced HTML & CSS (Live Online),Introduction to Computer Science and Programming,Introduction to Computer Science and Programming
Accelerated Computer Science Fundamentals,C for Everyone: Programming Fundamentals,Introduction to Computer Science and Programming,Introduction to Computer Science and Programming
Bachelor of Computer Science,Computer Science 101,Bachelor of Science in Computer Science (BCS) Online Degree,Computer Science for Data Science
Graduate Certificate in Computer Science,Graduate Diploma in Computer Science,Computer Science 101,Computer Science for Data Science
Graduate Diploma in Computer Science,Graduate Certificate in Computer Science,Computer Science 101,Computer Science for Data Science
Ace the Computer Science Interview: Strategies for Success,My Plan B: Exploring Alternative Strategies in Computer Science Research,Introduction to Computer Science and Programming,Introduction to Computer Science and Programming
General Computer Science Lessons,Introduction to Computer Science and Programming,Introduction to Computer Science and Programming,Introduction to Computer Science and Programming
MTTC Computer Science (050): Practice & Study Guide,OAE Computer Information Science (010): Study Guide & Practice,Praxis 5652 Study Guide - Computer Science Exam Prep,Machine Learning Foundations: A Case Study Approach
OAE Computer Information Science (010): Study Guide & Practice,Praxis 5652 Study Guide - Computer Science Exam Prep,Foundations of Computer Science: Theory and Practice,MTTC Computer Science (050): Practice & Study Guide
Computer Science: Help and Review,Introduction to Computer Science and Programming,Introduction to Computer Science and Programming,Introduction to Computer Science and Programming
Praxis 5652 Study Guide - Computer Science Exam Prep,OAE Computer Information Science (010): Study Guide & Practice,MTTC Computer Science (050): Practice & Study Guide,Machine Learning Foundations: A Case Study Approach
Foundations of Computer Science: Theory and Practice,Foundations of Computer Science,Computer Science 101: Master the Theory Behind Programming,OAE Computer Information Science (010): Study Guide & Practice
Computer Science Principles: Programming,Computer Science Principles: The Internet,Introduction to Computer Science and Programming,Introduction to Computer Science and Programming
"Divide and Conquer, Sorting and Searching, and Randomized Algorithms",CS50's Introduction to Computer Science,Introduction to Computer Science and Programming Using Python.,Harvard CS50 – Full Computer Science University Course
Cryptography I,CS50's Introduction to Computer Science,Introduction to Computer Science and Programming Using Python.,Harvard CS50 – Full Computer Science University Course
Computer Science Principles: The Internet,Computer Science Principles: Programming,Computer Science Principles: Digital Information,Introduction to the Internet of Things
Artificial Intelligence,Computer Science for Artificial Intelligence,CS50's Introduction to Artificial Intelligence with Python,CS50's Introduction to Computer Science
Online Master of Science in Computer Science (OMSCS),Master of Computer Science,Computer Science 101: Master the Theory Behind Programming,Bachelor of Science in Computer Science (BCS) Online Degree
Computer Science MetaBootcamp: Beginner to Intermediate 2025,Introduction to Computer Science and Programming,Introduction to Computer Science and Programming,Introduction to Computer Science and Programming
Computer Architecture,Computer Architecture,Computer Science 101,Introduction to Computer Science and Programming
Fundamentos TIC para profesionales de negocios: Hardware,Fundamentos TIC para profesionales de negocios: Desarrollo de Software,CS50's Introduction to Computer Science,Introduction to Computer Science and Programming Using Python.
"Algorithms, Part I","Algorithms, Part II",Advanced Algorithms - COMPSCI 224,JavaScript Algorithms and Data Structures
How to Program: Computer Science Concepts and Python Exercises,Computer Science for Python Programming,CS For All: Introduction to Computer Science and Python Programming,Concepts in Computer Science
Algorithmic Toolbox,CS50's Introduction to Computer Science,Introduction to Computer Science and Programming Using Python.,Harvard CS50 – Full Computer Science University Course
Machine Learning Foundations: A Case Study Approach,Machine Learning: Regression,Machine Learning for Musicians and Artists,Foundations of Computer Science
Usable Security,Hardware Security,"Internet History, Technology, and Security",CS50's Introduction to Computer Science
Introduction to Programming and Computer Science - Full Course,Introduction to Computer Science and Programming in Python,Introduction to Computer Science and Programming (Fall 2008),Introduction to Computer Science and Programming (Spring 2011)
Harvard CS50 (2023) – Full Computer Science University Course,Harvard CS50 (2023) – Full Computer Science University Course,Harvard CS50 (2023) – Full Computer Science University Course,Introduction to Programming and Computer Science - Full Course
Sr.Secondary : Computer Science (330),Computer Science 101,Computer Science for Data Science,Concepts in Computer Science
CS101: Introduction to Computer Science I,CS 201 - Introduction to Computer Science - Lecture 3/16/2023,Computer Science 101,CS For All: Introduction to Computer Science and Python Programming
Program Arcade Games - Learn Computer Science,Program Arcade Games - Learn Computer Science,Computer Science 101,Introduction to Computer Science and Programming
Think Like a Computer Science Professor,Spatial Computational Thinking,Introduction to Computer Science and Programming,Introduction to Computer Science and Programming
Memory - Intro to Computer Science - Harvard's CS50 (2018),C Programming: Modular Programming and Memory Management,Introduction to Computer Science and Programming,Introduction to Computer Science and Programming
Image and Video Processing: From Mars to Hollywood with a Stop at the Hospital,CS50's Introduction to Computer Science,Introduction to Computer Science and Programming Using Python.,Harvard CS50 – Full Computer Science University Course
"Information Systems Auditing, Controls and Assurance",OAE Computer Information Science (010): Study Guide & Practice,Computer Systems Design for Energy Efficiency,"Cloud Computing Applications, Part 1: Cloud Systems and Infrastructure"
"Cloud Computing Applications, Part 1: Cloud Systems and Infrastructure",Cloud Computing Engineering and Management,Computer Systems Design for Energy Efficiency,"Information Systems Auditing, Controls and Assurance"
Functional Program Design in Scala,Functional Programming Principles in Scala,Responsive Web Design,Introduction to Computer Science and Programming
C for Everyone: Programming Fundamentals,Accelerated Computer Science Fundamentals,Programming for Everyone – An Introduction to Visual Programming Languages,C Programming: Modular Programming and Memory Management
Sample-based Learning Methods,Computational Social Science Methods,Machine Learning: Regression,Machine Learning for Musicians and Artists
Unlocking the Power of Generative AI with ChatGPT for Higher Education,Introduction to Generative AI,Elements of AI,ChatGPT Prompt Engineering Course
"Twintrees, Baxter Permutations, and Floorplans in Computer Science - Lecture 2022",Introduction to Computer Science - Lecture 1,CS 201 - Introduction to Computer Science - Lecture 3/16/2023,Introduction to Computer Science and Programming
"Language, Proof and Logic",Introduction to Logic,CS50's Introduction to Computer Science,Introduction to Computer Science and Programming Using Python.
Understanding the World Through Data,CS50's Understanding Technology,Computer Science for Data Science,JavaScript Algorithms and Data Structures
Introduction to Computational Science and Engineering,Computational Social Science Methods,Introduction to Computer Science and Programming,Introduction to Computer Science and Programming
プログラミングしながら学ぶコンピュータサイエンス入門 : Introduction to Computer Science and Programming,プログラミングしながら学ぶコンピュータサイエンス入門 : Introduction to Computer Science and Programming,Introduction to Computer Science and Programming,Introduction to Computer Science and Programming
Hardware Security,Usable Security,"Internet History, Technology, and Security",CS50's Introduction to Computer Science
Computational Thinking for Modeling and Simulation,Computer Simulations,Computational Thinking using Python,Computational Thinking for Problem Solving
Computational Thinking using Python,Introduction to Computer Science and Programming Using Python.,Computational Thinking for Modeling and Simulation,Computational Thinking for Problem Solving
Elements of AI,Introduction to Generative AI,Unlocking the Power of Generative AI with ChatGPT for Higher Education,CS50's Introduction to Computer Science
Neural Networks and Deep Learning,Practical Machine Learning,Fundamentals of Reinforcement Learning,Program Arcade Games - Learn Computer Science
"Algorithms, Part II","Algorithms, Part I",Advanced Algorithms - COMPSCI 224,JavaScript Algorithms and Data Structures
Data Structures and Algorithms in Python - Full Course for Beginners,Algorithms and Data Structures Tutorial - Full Course for Beginners,"Algorithms, Part I",Advanced Data Structures in Java
Responsive Web Design,Computer Science for Web Programming,Functional Program Design in Scala,Software Construction: Object-Oriented Design
Machine Learning for Musicians and Artists,Machine Learning: Regression,Machine Learning Foundations: A Case Study Approach,Practical Machine Learning
Fundamentos TIC para profesionales de negocios: Desarrollo de Software,Fundamentos TIC para profesionales de negocios: Hardware,CS50's Introduction to Computer Science,Introduction to Computer Science and Programming Using Python.
Introduction to Generative AI,Unlocking the Power of Generative AI with ChatGPT for Higher Education,Elements of AI,Introduction to Computer Science and Programming
Shafi Goldwasser: Journey from Israel to Turing Award - A Life in Computer Science,Computer Science 101,Computer Science for Data Science,Concepts in Computer Science
Binary and Computer Science All-in-One Tutorial Series,Tutorial on Computer Science - Josh Grochow,Algorithms and Data Structures Tutorial - Full Course for Beginners,Introduction to Computer Science and Programming
Fundamentals of Reinforcement Learning,Fundamentals of Computer Science,Practical Machine Learning,Program Arcade Games - Learn Computer Science
Advanced HTML & CSS (Live Online),Computer Science Summer Program (High School) (Live Online),"Responsive Website Basics: Code with HTML, CSS, and JavaScript",CS50's Introduction to Computer Science
Machine Learning: Regression,Machine Learning for Musicians and Artists,Machine Learning Foundations: A Case Study Approach,Practical Machine Learning
Performance Engineering of Software Systems,Software Engineering: Introduction,Introduction to Electrical Engineering and Computer Science I,Introduction to Software Product Management
Introducción a la programación en C: Tipos de datos y estructuras,CS50's Introduction to Computer Science,Introduction to Computer Science and Programming Using Python.,Harvard CS50 – Full Computer Science University Course
Programming for Everyone – An Introduction to Visual Programming Languages,Introduction to Computer Science and Programming in Python,Introduction to Programming and Computer Science - Full Course,C Programming: Modular Programming and Memory Management
Advanced Algorithms - COMPSCI 224,"Algorithms, Part I","Algorithms, Part II",Advanced Data Structures in Java
ChatGPT Prompt Engineering Course,Introduction to Programming and Computer Science - Full Course,Performance Engineering of Software Systems,Software Engineering: Introduction
Accessible Gamification,CS50's Introduction to Computer Science,Introduction to Computer Science and Programming Using Python.,Harvard CS50 – Full Computer Science University Course
Computational Thinking for Problem Solving,Computational Thinking using Python,Computational Thinking for Modeling and Simulation,Introduction to Computational Science and Engineering
Computer Science and IT at the University of Melbourne - Faculty of Engineering and IT Overview,Harvard CS50 – Full Computer Science University Course,Harvard CS50 (2023) – Full Computer Science University Course,Harvard CS50 (2023) – Full Computer Science University Course
Equality in Computer Science - Sociological and Mathematical Perspectives,Introduction to Computer Science and Programming,Introduction to Computer Science and Programming,Introduction to Computer Science and Programming
My Plan B: Exploring Alternative Strategies in Computer Science Research,Ace the Computer Science Interview: Strategies for Success,Computer Science Graduate School Research and Programming Best Practices,Introduction to Computer Science and Programming
Introduction to Computer Science with CS50 - The Most Popular Course on edX,CS101: Introduction to Computer Science I,CS 201 - Introduction to Computer Science - Lecture 3/16/2023,CS For All: Introduction to Computer Science and Python Programming
Computer Science Graduate School Research and Programming Best Practices,Foundations of Computer Science: Theory and Practice,Graduate Certificate in Computer Science,Graduate Diploma in Computer Science
Introduction to the Internet of Things and Embedded Systems,Introduction to the Internet of Things,Computer Science Principles: The Internet,"Internet History, Technology, and Security"
CS50's Introduction to Artificial Intelligence with Python,CS50's Introduction to Computer Science,Introduction to Computer Science and Programming in Python,Artificial Intelligence
Arduino Course for Beginners - Open-Source Electronics Platform,Introduction to Computer Science with CS50 - The Most Popular Course on edX,Data Structures and Algorithms in Python - Full Course for Beginners,Algorithms and Data Structures Tutorial - Full Course for Beginners
Software Construction: Object-Oriented Design,Software Construction: Data Abstraction,Performance Engineering of Software Systems,Software Engineering: Introduction
Software Construction: Data Abstraction,Software Construction: Object-Oriented Design,Computer Science for Data Science,Performance Engineering of Software Systems
Software Engineering: Introduction,Performance Engineering of Software Systems,Introduction to Electrical Engineering and Computer Science I,Introduction to Software Product Management
LAFF-On Programming for High Performance,Programming for Everyone – An Introduction to Visual Programming Languages,Computer Science Summer Program (High School) (Live Online),C Programming: Modular Programming and Memory Management
LAFF – On Programming for Correctness,Programming for Everyone – An Introduction to Visual Programming Languages,C Programming: Modular Programming and Memory Management,C for Everyone: Programming Fundamentals
Advanced Data Structures in Java,Data Structures and Algorithms in Python - Full Course for Beginners,Algorithms and Data Structures Tutorial - Full Course for Beginners,Computer Science for Data Science
Practical Machine Learning,Machine Learning: Regression,Fundamentals of Reinforcement Learning,Machine Learning for Musicians and Artists
JavaScript Algorithms and Data Structures,"Algorithms, Part I",Data Structures and Algorithms in Python - Full Course for Beginners,Algorithms and Data Structures Tutorial - Full Course for Beginners
"Nature, in Code: Biology in JavaScript","Responsive Website Basics: Code with HTML, CSS, and JavaScript",JavaScript Algorithms and Data Structures,CS50's Introduction to Computer Science
Tutorial on Computer Science - Josh Grochow,Binary and Computer Science All-in-One Tutorial Series,Algorithms and Data Structures Tutorial - Full Course for Beginners,Introduction to Computer Science and Programming
Introduction to Computer Science - Lecture 1,CS 201 - Introduction to Computer Science - Lecture 3/16/2023,Introduction to Computer Science and Programming,Introduction to Computer Science and Programming
CSEP 590A - Lecture 11: Advanced Topics in Computer Science,Computer Science 101,Advanced Algorithms - COMPSCI 224,Computer Science Topics for Rails Developers - Relevance and Applications
"CS201 - Introduction to Computer Science - November 16, 2023",CS101: Introduction to Computer Science I,CS 201 - Introduction to Computer Science - Lecture 3/16/2023,CS For All: Introduction to Computer Science and Python Programming
CS 201 - Introduction to Computer Science - Lecture 3/16/2023,Introduction to Computer Science - Lecture 1,CS101: Introduction to Computer Science I,CS For All: Introduction to Computer Science and Python Programming
Computer Science Topics for Rails Developers - Relevance and Applications,CSEP 590A - Lecture 11: Advanced Topics in Computer Science,Introduction to Computer Science and Programming,Introduction to Computer Science and Programming
C Programming: Modular Programming and Memory Management,Programming for Everyone – An Introduction to Visual Programming Languages,C for Everyone: Programming Fundamentals,Introduction to Computer Science and Programming in Python
Constraint Programming,Introduction to Computer Science and Programming,Introduction to Computer Science and Programming,Introduction to Computer Science and Programming
Introduction to the Internet of Things,Computer Science Principles: The Internet,Introduction to the Internet of Things and Embedded Systems,"Internet History, Technology, and Security"
Algorithms and Data Structures Tutorial - Full Course for Beginners,Data Structures and Algorithms in Python - Full Course for Beginners,"Algorithms, Part I",Advanced Data Structures in Java
C Programming: Getting Started,Programming for Everyone – An Introduction to Visual Programming Languages,C Programming: Modular Programming and Memory Management,C for Everyone: Programming Fundamentals
Spatial Computational Thinking,Think Like a Computer Science Professor,Introduction to Computational Science and Engineering,Computational Social Science Methods
"Responsive Website Basics: Code with HTML, CSS, and JavaScript","Nature, in Code: Biology in JavaScript",Advanced HTML & CSS (Live Online),Responsive Web Design
Building a RISC-V CPU Core,Introduction to RISC-V,CS50's Introduction to Computer Science,Introduction to Computer Science and Programming Using Python.
Computer Architecture Essentials on Arm,Computer Science 101,Introduction to Computer Science and Programming,Introduction to Computer Science and Programming
Cloud Computing Engineering and Management,"Cloud Computing Applications, Part 1: Cloud Systems and Infrastructure",Introduction to Software Product Management,Performance Engineering of Software Systems
Introduction to RISC-V,Building a RISC-V CPU Core,Introduction to Computer Science and Programming,Introduction to Computer Science and Programming
Computer System Design: Advanced Concepts of Modern Microprocessors,Concepts in Computer Science,How to Program: Computer Science Concepts and Python Exercises,Advanced Algorithms - COMPSCI 224
Computer Systems Design for Energy Efficiency,Responsive Web Design,Functional Program Design in Scala,Computer System Design: Advanced Concepts of Modern Microprocessors
